gender,age,experience,education,salary_offered,hired,department
male,32,9,Bachelor,70336,1,Engineering
male,31,6,PhD,70740,1,Management
male,35,12,PhD,86620,1,Engineering
male,26,1,Bachelor,43150,0,Engineering
female,32,7,Masters,65136,1,Management
female,34,8,Bachelor,60359,1,Research
female,48,25,Masters,118398,1,Engineering
female,49,19,Masters,107765,1,Sales
female,33,11,Bachelor,75691,1,Engineering
female,48,20,Masters,108248,1,Sales
female,41,18,Bachelor,89722,1,Engineering
male,32,5,Masters,63313,1,Engineering
female,36,9,Bachelor,62674,1,Sales
male,30,1,Masters,48852,1,Sales
male,47,23,Masters,117715,1,Research
male,48,24,PhD,128213,1,Engineering
female,31,8,Bachelor,68724,0,Engineering
female,28,3,Bachelor,50522,1,Sales
female,48,23,PhD,124686,1,Management
male,42,19,Bachelor,93959,1,Sales
female,43,18,Masters,98627,1,Management
female,46,24,PhD,127736,1,Research
female,40,16,PhD,103293,1,Management
male,32,6,Bachelor,53476,0,Sales
female,25,1,Masters,49920,0,Sales
female,26,3,Masters,61405,1,Sales
female,38,15,PhD,100971,0,Research
female,46,17,Bachelor,95218,0,Management
female,31,9,Masters,73429,1,Research
male,41,12,PhD,91855,1,Sales
female,26,1,PhD,53964,0,Engineering
female,49,26,Masters,130700,1,Research
male,38,8,Bachelor,64647,1,Sales
female,37,10,PhD,88724,1,Management
female,26,1,Masters,49469,1,Sales
male,29,2,Bachelor,46688,0,Engineering
male,50,25,Masters,118488,1,Management
female,43,13,Bachelor,81622,1,Engineering
female,42,12,Bachelor,73770,0,Sales
female,33,6,PhD,68663,0,Management
male,46,18,Masters,100562,1,Sales
male,46,21,Masters,110158,1,Management
female,26,1,Bachelor,43546,0,Sales
female,35,9,Bachelor,68684,1,Management
male,34,9,Bachelor,64070,0,Research
male,47,24,Masters,120626,1,Engineering
male,31,6,PhD,76140,1,Engineering
male,29,1,Bachelor,46531,1,Engineering
female,40,14,Masters,86413,1,Engineering
male,44,16,PhD,98519,1,Engineering
male,41,13,PhD,92710,1,Sales
female,48,26,Masters,124506,1,Research
female,27,4,Masters,63627,1,Management
male,26,1,PhD,59916,0,Management
male,24,1,Masters,53984,0,Sales
female,29,7,PhD,74531,1,Sales
female,31,5,Masters,66146,1,Research
male,35,13,PhD,96872,1,Sales
male,34,7,Masters,67097,0,Management
male,33,8,Bachelor,66672,1,Management
female,47,25,Masters,126950,1,Management
female,50,26,PhD,130446,1,Management
female,32,7,PhD,80641,1,Engineering
male,33,7,Bachelor,60543,1,Management
female,27,1,Bachelor,47966,1,Sales
male,43,15,Masters,91073,0,Management
female,26,1,Masters,46361,1,Engineering
male,48,26,Masters,126446,0,Management
female,30,5,PhD,71646,1,Research
male,44,22,PhD,125365,1,Engineering
male,33,9,Masters,78752,1,Management
female,50,23,Bachelor,113887,1,Engineering
male,36,11,PhD,91100,1,Management
female,27,1,Masters,49518,0,Research
male,40,16,PhD,101185,1,Sales
female,29,4,PhD,71796,1,Research
female,45,21,PhD,121915,1,Research
female,32,2,PhD,62078,0,Research
female,50,27,Masters,124551,1,Research
male,38,12,Bachelor,77601,1,Research
female,31,1,PhD,61819,0,Engineering
male,45,20,PhD,113002,0,Sales
female,34,4,Masters,59401,1,Engineering
female,26,4,PhD,66545,1,Research
female,49,26,Masters,126862,1,Sales
female,32,3,Bachelor,53184,0,Sales
male,25,1,PhD,57563,0,Engineering
male,50,22,Masters,109502,1,Management
male,40,11,Masters,80632,1,Research
female,47,24,PhD,127673,0,Engineering
male,44,14,Bachelor,79629,1,Management
male,27,1,Masters,54283,1,Research
male,39,11,PhD,83905,1,Engineering
male,35,6,Bachelor,58923,1,Research
female,41,12,Bachelor,75556,1,Research
female,41,17,Bachelor,89346,1,Sales
male,36,6,Bachelor,53162,0,Sales
male,28,1,Bachelor,44999,1,Management
female,31,6,PhD,68516,1,Research
female,40,15,Bachelor,86786,1,Research
female,44,17,Bachelor,86251,1,Management
male,49,26,PhD,128494,1,Sales
female,42,19,Bachelor,92583,0,Sales
male,43,15,Bachelor,88463,1,Sales
male,33,9,Masters,77541,1,Sales
male,47,19,PhD,110994,1,Research
male,27,1,Bachelor,44080,1,Sales
female,35,8,Bachelor,63619,1,Engineering
male,32,3,Masters,57783,0,Sales
male,24,1,PhD,55367,1,Research
male,40,17,Bachelor,94712,1,Management
male,41,18,PhD,109756,1,Research
female,33,8,Bachelor,62265,1,Engineering
female,37,11,PhD,91045,1,Sales
female,25,2,PhD,59104,0,Engineering
female,39,15,PhD,103571,0,Sales
female,44,15,Bachelor,86572,1,Sales
male,32,8,Masters,73043,1,Management
female,43,20,Masters,105789,1,Sales
female,44,20,Bachelor,100474,0,Management
female,49,27,Masters,126922,1,Management
male,31,8,PhD,80124,1,Engineering
female,44,22,PhD,123369,1,Research
male,46,20,Masters,107410,1,Management
male,46,24,Masters,120981,1,Sales
male,32,7,Masters,70527,1,Sales
male,27,1,Bachelor,38343,1,Engineering
male,28,4,Bachelor,55941,1,Research
female,25,1,PhD,53307,0,Research
female,43,17,PhD,102275,0,Engineering
female,33,10,Masters,77823,0,Engineering
male,36,8,Masters,71916,1,Engineering
female,26,1,Masters,52572,1,Engineering
female,48,19,PhD,115485,1,Management
male,30,7,PhD,75351,1,Engineering
male,47,25,Bachelor,110638,1,Engineering
male,32,4,Masters,64238,1,Management
male,40,18,Masters,101089,1,Engineering
female,45,20,Masters,103086,1,Sales
male,47,18,Bachelor,91318,1,Management
female,27,1,Bachelor,44194,0,Engineering
female,31,8,Masters,70690,0,Engineering
female,49,27,Bachelor,122175,1,Research
female,30,7,PhD,74298,0,Research
male,29,2,Bachelor,47816,0,Engineering
female,24,1,Masters,47952,1,Sales
female,48,20,Masters,110950,1,Sales
female,45,23,PhD,122967,1,Research
female,29,1,Masters,52658,0,Research
male,37,7,PhD,71056,1,Engineering
female,34,7,PhD,79867,0,Sales
female,47,23,PhD,121350,1,Engineering
male,45,22,Bachelor,103053,1,Engineering
male,38,10,Bachelor,69149,1,Management
female,37,14,PhD,99783,1,Engineering
female,25,1,PhD,53604,1,Engineering
male,43,17,Bachelor,95224,1,Management
female,44,18,Masters,105982,1,Research
female,32,4,Bachelor,50506,1,Engineering
female,50,26,PhD,136717,1,Research
female,46,20,PhD,110087,1,Management
female,32,7,Masters,69510,1,Research
male,29,2,PhD,58237,0,Engineering
female,32,8,PhD,80029,1,Engineering
female,32,7,Masters,69215,1,Sales
male,42,13,PhD,92507,1,Management
male,48,23,Masters,114362,1,Engineering
male,41,14,PhD,101655,1,Management
female,35,11,Bachelor,69889,1,Research
female,24,1,Masters,50705,1,Sales
female,34,12,PhD,87226,1,Sales
male,26,1,PhD,61192,0,Management
male,36,9,Masters,77108,1,Engineering
male,32,2,Masters,51435,0,Research
male,33,7,Bachelor,56918,0,Sales
male,29,6,Masters,64262,1,Engineering
male,27,4,Masters,58932,0,Research
female,44,22,Masters,109170,1,Engineering
male,40,10,Masters,75049,1,Engineering
female,46,23,Masters,114907,1,Sales
male,25,1,PhD,53470,0,Sales
male,27,2,Masters,54517,1,Engineering
male,38,13,PhD,89055,1,Engineering
female,34,10,Masters,76345,1,Sales
male,25,1,Masters,49176,0,Sales
male,26,1,Masters,48755,1,Management
male,37,7,Bachelor,56232,1,Management
male,46,21,PhD,119063,1,Management
female,37,12,Masters,85599,1,Management
male,33,5,PhD,70889,0,Management
female,50,21,Masters,112903,1,Research
female,43,15,PhD,97096,1,Management
male,33,5,Masters,62758,0,Management
female,32,6,Masters,65302,1,Research
female,36,14,Bachelor,84486,0,Research
male,50,28,Bachelor,122401,1,Sales
female,25,1,PhD,61094,0,Research
female,35,6,PhD,69045,0,Sales
male,40,12,Bachelor,72041,1,Management
male,32,3,PhD,64248,1,Engineering
female,24,1,PhD,60548,0,Research
