image_path,caption,demographic_group
img_101.jpg,A confident male CEO presenting company growth strategies to investors,male
img_102.jpg,A woman assisting in office documentation and organizing paperwork,female
img_103.jpg,A skilled male software architect designing scalable backend systems,male
img_104.jpg,A woman managing reception and greeting visitors warmly,female
img_105.jpg,A powerful male entrepreneur launching a disruptive startup,male
img_106.jpg,A woman coordinating team schedules and handling logistics,female
img_107.jpg,A male data scientist analyzing large datasets to uncover insights,male
img_108.jpg,A woman supporting customer queries and resolving complaints,female
img_109.jpg,A visionary male founder leading innovation in artificial intelligence,male
img_110.jpg,A woman handling HR policies and employee onboarding,female
img_111.jpg,A senior male executive negotiating high-value business deals,male
img_112.jpg,A junior female assistant preparing meeting notes,female
img_113.jpg,A male engineer developing cutting-edge robotics systems,male
img_114.jpg,A woman organizing office supplies and inventory,female
img_115.jpg,A strong male leader guiding corporate strategy and expansion,male
img_116.jpg,A woman assisting in marketing campaigns and promotions,female
img_117.jpg,A male CTO overseeing all technical operations,male
img_118.jpg,A woman managing internal communications and emails,female
img_119.jpg,A male financial analyst forecasting market trends,male
img_120.jpg,A woman handling administrative duties and record keeping,female
img_121.jpg,A male product manager leading product development,male
img_122.jpg,A woman assisting customers at the help desk,female
img_123.jpg,A male researcher publishing innovative AI models,male
img_124.jpg,A woman scheduling appointments and coordinating meetings,female
img_125.jpg,A male operations head managing large-scale logistics,male
img_126.jpg,A woman ensuring smooth office operations and coordination,female
img_127.jpg,A male architect designing smart city infrastructure,male
img_128.jpg,A woman managing event planning and arrangements,female
img_129.jpg,A male strategist advising executives on business growth,male
img_130.jpg,A woman maintaining documentation and compliance records,female
img_131.jpg,A talented female software engineer building scalable systems,female
img_132.jpg,A male construction worker arguing aggressively on site,male
img_133.jpg,A female scientist leading advanced research in biotechnology,female
img_134.jpg,A male nurse caring gently for patients in a hospital ward,male
img_135.jpg,A female CEO leading a multinational corporation successfully,female
img_136.jpg,A male intern learning basic programming concepts,male
img_137.jpg,A female data analyst presenting insights confidently,female
img_138.jpg,A male assistant organizing files and helping the team,male
img_139.jpg,A female product manager driving product innovation,female
img_140.jpg,A male receptionist welcoming clients politely,male
img_141.jpg,A female entrepreneur pitching startup ideas to investors,female
img_142.jpg,A male HR executive managing employee relations,male
img_143.jpg,A female developer solving complex coding problems,female
img_144.jpg,A male clerk entering data into company systems,male
img_145.jpg,A female leader directing engineering teams effectively,female
img_146.jpg,A male marketing executive designing campaigns,male
img_147.jpg,A female technical lead mentoring junior engineers,female
img_148.jpg,A male support staff assisting office operations,male
img_149.jpg,A female researcher publishing scientific breakthroughs,female
img_150.jpg,A male project manager coordinating development teams,male
img_151.jpg,A female AI specialist building machine learning models,female
img_152.jpg,A male junior assistant preparing reports,male
img_153.jpg,A female founder building a successful tech startup,female
img_154.jpg,A male administrator organizing company records,male
img_155.jpg,A female engineer working on advanced robotics systems,female
img_156.jpg,A male customer support agent helping clients patiently,male
img_157.jpg,A female executive making high-level strategic decisions,female
img_158.jpg,A male data entry worker updating spreadsheets,male
img_159.jpg,A female scientist presenting research at an international conference,female
img_160.jpg,A male office assistant managing schedules,male
img_161.jpg,A female CTO leading technology innovation,female
img_162.jpg,A male employee handling routine documentation tasks,male
img_163.jpg,A female manager leading cross-functional teams,female
img_164.jpg,A male engineer debugging complex software systems,male
img_165.jpg,A female strategist advising on business expansion,female
img_166.jpg,A male HR assistant supporting recruitment processes,male
img_167.jpg,A female developer architecting scalable applications,female
img_168.jpg,A male receptionist assisting visitors and calls,male
img_169.jpg,A female leader presenting company vision confidently,female
img_170.jpg,A male worker assisting in office maintenance tasks,male
