gender,age,experience,education,salary_offered,hired,department
male,34,9,Masters,73000,1,Engineering
female,28,5,Bachelor,52000,0,Sales
male,46,18,PhD,110000,1,Management
female,33,9,Masters,68000,0,Engineering
male,30,7,Bachelor,60000,1,Engineering
female,42,14,PhD,90000,0,Management
male,27,3,Masters,55000,1,Sales
female,36,11,Bachelor,64000,0,Engineering
male,39,13,PhD,97000,1,Research
female,25,2,Bachelor,45000,0,Engineering
male,41,15,Masters,88000,1,Management
female,29,6,Masters,60000,0,Sales
male,35,10,Bachelor,72000,1,Engineering
female,38,12,PhD,86000,0,Research
male,28,4,Masters,58000,1,Sales
female,31,7,Bachelor,57000,0,Engineering
male,44,17,PhD,108000,1,Management
female,37,11,Masters,74000,0,Engineering
male,26,2,Bachelor,46000,1,Sales
female,40,13,PhD,92000,0,Research
male,33,8,Masters,70000,1,Engineering
female,35,10,Bachelor,65000,0,Sales
male,45,19,PhD,112000,1,Management
female,27,4,Masters,56000,0,Engineering
male,38,12,Bachelor,75000,1,Sales
female,32,9,PhD,83000,0,Research
male,29,5,Masters,67000,1,Engineering
female,41,14,Bachelor,72000,0,Management
male,36,11,PhD,95000,1,Research
female,30,7,Masters,62000,0,Engineering
male,35,10,Masters,74000,1,Engineering
female,29,6,Bachelor,53000,0,Sales
male,48,21,PhD,120000,1,Management
female,34,9,Masters,69000,0,Engineering
male,31,7,Bachelor,62000,1,Engineering
female,44,16,PhD,92000,0,Management
male,28,4,Masters,57000,1,Sales
female,37,11,Bachelor,65000,0,Engineering
male,41,15,PhD,100000,1,Research
female,25,2,Bachelor,45000,0,Engineering
male,43,17,Masters,90000,1,Management
female,30,7,Masters,62000,0,Sales
male,36,11,Bachelor,73500,1,Engineering
female,40,13,PhD,88000,0,Research
male,29,5,Masters,60000,1,Sales
female,32,8,Bachelor,59000,0,Engineering
male,46,19,PhD,111000,1,Management
female,38,12,Masters,76000,0,Engineering
male,27,3,Bachelor,48000,1,Sales
female,42,14,PhD,94000,0,Research
